idcontrato;nAnuncio;tipoprocedimento;objectoContrato;dataPublicacao;dataCelebracaoContrato;precoContratual;prazoExecucao;NIPC_entidade_comunicante;entidade_comunicante;fundamentacao
10424261;;Consulta Prévia;Seguro de Acidentes de Trabalho para os Funcionários/as da Urbe - Consultores Associados, Lda.;01/01/2024;01/01/2024;3918,75;366;505111667;Urbe - Consultores Associados, L.da;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10424331;;Ajuste Direto Regime Geral;Serviços no âmbito administrativo e apoio nas atividades da Freguesia;02/01/2024;02/01/2024;8100;272;507853024;Freguesia de Candoso (São Martinho);Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424469;;Consulta Prévia;"Serviços de limpeza de bermas, valetas, podas de árvores e manutenção de espaços públicos: manter sem vegetação selvagem as valetas de todas as ruas e caminhos da Freguesia de Carvalhosa, no concelho de Paços de Ferreira. Por vegetação selvagem deve-se compreender toda a vegetação rasteira que cresce nos caminhos, ruas e bermas, bem como arbustos até 1,5 metros de altura que sejam indicados pela entidade adjudicante. A entidade adjudicatária está autorizada a utilizar herbicidas não tóxicos autorizados pelas normas comunitárias e ainda os mecanismos de corte que considere necessário. Proceder à remoção dos detritos que resultem do exercício dos serviços que presta. Manter limpas e desimpedidas as valetas e caixas exteriores de águas pluviais. Manter limpas e desimpedidas as sarjetas e condutas de águas pluviais que sejam de fácil acesso e cuja obstrução ocorra após cada limpeza. Proceder à poda de árvores da Freguesia
";02/01/2024;02/01/2024;11520;364;507105141;Freguesia de Carvalhosa;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10424671;;Ajuste Direto Regime Geral;Prestação de Serviços - Realização de atividades e eventos, planeamento, criação e execução de suportes lúdicos;02/01/2024;02/01/2024;19200;456;506676170;Município de Seia;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424679;;Consulta Prévia;"Serviços de psicologia à população da freguesia e apoio nas atividades da Freguesia de Joane
";02/01/2024;02/01/2024;13200;365;507104676;Freguesia de Joane;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10424686;;Consulta Prévia;"AQUISIÇÃO DE SERVIÇOS DE SEGUROS

";02/01/2024;02/01/2024;6187,64;366;500122270;Fundação Raquel e Martin Sain;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10424688;;Ajuste Direto Regime Geral;Serviços no âmbito administrativo e apoio nas atividades da Freguesia;02/01/2024;02/01/2024;9600;365;510840990;União das Freguesias de Vila Cova da Lixa e Borba de Godim;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424697;;Ajuste Direto Regime Geral;"Serviços de coveiro e manutenção dos cemitérios: Abertura e aterro de sepulturas, proceder ao depósito e ao levantamento dos restos mortais, assegurar a limpeza e conservação das instalações pertencentes aos cemitérios, abertura e encerramento dos cemitérios dentro dos parâmetros estabelecidos e demais tarefas relacionadas
";02/01/2024;02/01/2024;12000;364;510840990;União das Freguesias de Vila Cova da Lixa e Borba de Godim;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424702;;Ajuste Direto Regime Geral;"Limpeza e manutenção de jardins, canteiros e pequenas podas
";02/01/2024;02/01/2024;7500;364;510836160;União das Freguesias de Conde e Gandarela;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424714;742/2023;Concurso público;Aquisição de serviços de enquadramento técnico para lecionação de aulas de natação e outras atividades aquáticas nas piscinas municipais de Almada, pelo prazo de 5 meses;03/01/2024;03/01/2024;163065,98;152;500051054;Município de Almada;Artigo 155.º do Código dos Contratos Públicos
10424732;;Ajuste Direto Regime Geral;Aquisição de serviços de psicologia clinica, para o ano 2024;03/01/2024;01/01/2024;8040;366;510840230;União das Freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim);Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10424806;;Ajuste Direto Regime Geral;AQUISIÇÃO DE CONNECT 3.0 NA PLATAFORMA VORTAL VISION;03/01/2024;02/01/2024;6550;1096;507700651;Penafiel Verde, E. M.;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
